report_date,killed
2023-10-07,232
2023-10-08,138
2023-10-09,190
2023-10-10,340
2023-10-11,200
2023-10-12,317
2023-10-13,483
2023-10-14,328
2023-10-15,442
2023-10-16,138
2023-10-17,192
2023-10-18,478
2023-10-19,307
2023-10-20,352
2023-10-21,248
2023-10-22,266
2023-10-23,436
2023-10-24,704
2023-10-25,756
2023-10-26,481
2023-10-27,298
2023-10-28,377
2023-10-29,302
2023-10-30,304
2023-10-31,216
2023-11-01,280
2023-11-02,256
2023-11-03,196
2023-11-04,228
2023-11-05,285
2023-11-06,252
2023-11-07,306
2023-11-08,241
2023-11-09,249
2023-11-10,260
2023-11-11,
2023-11-12,
2023-11-13,
2023-11-14,
2023-11-15,
2023-11-16,
2023-11-17,
2023-11-18,
2023-11-19,
2023-11-20,
2023-11-21,
2023-11-22,
2023-11-23,
2023-11-24,
2023-11-25,
2023-11-26,
2023-11-27,
2023-11-28,
2023-11-29,
2023-11-30,
2023-12-01,
2023-12-02,407
2023-12-03,316
2023-12-04,376
2023-12-05,725
2023-12-06,
2023-12-07,350
2023-12-08,313
2023-12-09,210
2023-12-10,297
2023-12-11,208
2023-12-12,207
2023-12-13,196
2023-12-14,179
2023-12-15,
2023-12-16,
2023-12-17,
2023-12-18,151
2023-12-19,214
2023-12-20,
2023-12-21,
2023-12-22,390
2023-12-23,201
2023-12-24,166
2023-12-25,250
2023-12-26,241
2023-12-27,195
2023-12-28,210
2023-12-29,187
2023-12-30,165
2023-12-31,150
2024-01-01,156
2024-01-02,207
2024-01-03,128
2024-01-04,125
2024-01-05,162
2024-01-06,122
2024-01-07,113
2024-01-08,249
2024-01-09,126
2024-01-10,147
2024-01-11,112
2024-01-12,151
2024-01-13,135
2024-01-14,125
2024-01-15,132
2024-01-16,158
2024-01-17,163
2024-01-18,172
2024-01-19,142
2024-01-20,165
2024-01-21,178
2024-01-22,190
2024-01-23,195
2024-01-24,210
2024-01-25,200
2024-01-26,183
2024-01-27,174
2024-01-28,165
2024-01-29,215
2024-01-30,114
2024-01-31,149
2024-02-01,119
2024-02-02,112
2024-02-03,107
2024-02-04,127
2024-02-05,113
2024-02-06,107
2024-02-07,123
2024-02-08,132
2024-02-09,107
2024-02-10,117
2024-02-11,112
2024-02-12,164
2024-02-13,133
2024-02-14,103
2024-02-15,87
2024-02-16,112
2024-02-17,83
2024-02-18,127
2024-02-19,107
2024-02-20,103
2024-02-21,118
2024-02-22,97
2024-02-23,104
2024-02-24,92
2024-02-25,86
2024-02-26,90
2024-02-27,96
2024-02-28,76
2024-02-29,81
2024-03-01,193
2024-03-02,92
2024-03-03,90
2024-03-04,124
2024-03-05,97
2024-03-06,86
2024-03-07,83
2024-03-08,78
2024-03-09,82
2024-03-10,85
2024-03-11,67
2024-03-12,72
2024-03-13,88
2024-03-14,69
2024-03-15,149
2024-03-16,63
2024-03-17,92
2024-03-18,81
2024-03-19,93
2024-03-20,104
2024-03-21,65
2024-03-22,82
2024-03-23,72
2024-03-24,84
2024-03-25,107
2024-03-26,81
2024-03-27,76
2024-03-28,62
2024-03-29,71
2024-03-30,82
2024-03-31,77
2024-04-01,63
2024-04-02,71
2024-04-03,59
2024-04-04,62
2024-04-05,54
2024-04-06,46
2024-04-07,38
2024-04-08,32
2024-04-09,153
2024-04-10,122
2024-04-11,63
2024-04-12,89
2024-04-13,52
2024-04-14,43
2024-04-15,68
2024-04-16,46
2024-04-17,56
2024-04-18,71
2024-04-19,42
2024-04-20,37
2024-04-21,48
2024-04-22,54
2024-04-23,32
2024-04-24,79
2024-04-25,43
2024-04-26,51
2024-04-27,32
2024-04-28,66
2024-04-29,34
2024-04-30,47
2024-05-01,33
2024-05-02,28
2024-05-03,26
2024-05-04,32
2024-05-05,29
2024-05-06,52
2024-05-07,54
2024-05-08,55
2024-05-09,60
2024-05-10,39
2024-05-11,28
2024-05-12,63
2024-05-13,57
2024-05-14,82
2024-05-15,60
2024-05-16,39
2024-05-17,31
2024-05-18,83
2024-05-19,70
2024-05-20,106
2024-05-21,85
2024-05-22,62
2024-05-23,91
2024-05-24,57
2024-05-25,46
2024-05-26,81
2024-05-27,66
2024-05-28,46
2024-05-29,75
2024-05-30,53
2024-05-31,60
2024-06-01,95
2024-06-02,60
2024-06-03,40
2024-06-04,71
2024-06-05,36
2024-06-06,68
2024-06-07,77
2024-06-08,70
2024-06-09,283
2024-06-10,40
2024-06-11,40
2024-06-12,38
2024-06-13,30
2024-06-14,34
2024-06-15,30
2024-06-16,41
2024-06-17,10
2024-06-18,25
2024-06-19,24
2024-06-20,35
2024-06-21,19
2024-06-22,101
2024-06-23,47
2024-06-24,28
2024-06-25,32
2024-06-26,60
2024-06-27,47
2024-06-28,29
2024-06-29,40
2024-06-30,43
2024-07-01,23
2024-07-02,25
2024-07-03,28
2024-07-04,58
2024-07-05,58
2024-07-06,29
2024-07-07,55
2024-07-08,40
2024-07-09,50
2024-07-10,52
2024-07-11,50
2024-07-12,37
2024-07-13,61
2024-07-14,141
2024-07-15,80
2024-07-16,49
2024-07-17,81
2024-07-18,54
2024-07-19,34
2024-07-20,37
2024-07-21,64
2024-07-22,23
