통계표,계정항목,측정항목,단위,변환,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02
"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율","원/달러(시가)","평균자료","원 ","원자료","1,088.20","1,099.24","1,112.66","1,087.18","1,092.78","1,113.08","1,144.96","1,177.99","1,185.54","1,146.57","1,152.65","1,172.38","1,202.49","1,217.13","1,184.64","1,147.43","1,174.15","1,167.69","1,143.49","1,111.41","1,106.17","1,126.87","1,162.11","1,182.55","1,182.91","1,142.78","1,134.04","1,133.12","1,124.91","1,131.00","1,134.08","1,130.65","1,132.36","1,130.39","1,103.34","1,085.96","1,066.84","1,080.14","1,070.85","1,067.90","1,076.84","1,095.02","1,122.50","1,120.80","1,120.70","1,132.26","1,127.34","1,123.53","1,121.44","1,122.25","1,131.67","1,141.41","1,184.15","1,173.94","1,176.13","1,210.11","1,197.18","1,183.01","1,168.38","1,175.75","1,165.69","1,195.42","1,217.77","1,224.27","1,229.31","1,208.85","1,198.13","1,186.61","1,178.62","1,143.93","1,115.83","1,095.48","1,098.34","1,112.15","1,131.11","1,118.50","1,123.18","1,122.36","1,144.80","1,160.75","1,170.37","1,182.26","1,184.30","1,183.81","1,195.09","1,198.52","1,220.82","1,234.91","1,268.20","1,279.57","1,306.58","1,320.61","1,391.85","1,426.80","1,361.88","1,297.33","1,246.02","1,274.51","1,304.60","1,321.22","1,328.64","1,296.10","1,285.61","1,320.25","1,331.17","1,350.54","1,308.40","1,304.24","1,324.88","1,332.35","1,331.52","1,368.50","1,364.77","1,381.14","1,382.86","1,352.39","1,333.43","1,364.46","1,394.06","1,435.26","1,456.25","1,445.63"
"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율","원/달러(시가)","말일자료","원 ","원자료","1,100.00","1,102.90","1,108.00","1,070.00","1,107.00","1,120.00","1,173.00","1,178.00","1,196.00","1,140.40","1,157.10","1,169.70","1,206.00","1,243.00","1,145.60","1,137.00","1,189.00","1,153.50","1,123.00","1,119.50","1,103.00","1,145.00","1,167.50","1,211.50","1,170.00","1,134.50","1,118.50","1,132.00","1,124.00","1,147.00","1,124.40","1,124.50","1,145.30","1,124.00","1,081.50","1,076.00","1,074.00","1,080.50","1,063.00","1,068.00","1,077.00","1,121.50","1,117.00","1,114.50","1,114.50","1,139.00","1,118.70","1,120.00","1,112.00","1,118.60","1,137.10","1,159.00","1,191.60","1,157.30","1,181.50","1,210.00","1,202.20","1,165.00","1,179.10","1,160.00","1,188.80","1,215.00","1,223.00","1,223.00","1,238.50","1,198.50","1,188.50","1,180.80","1,167.50","1,131.10","1,104.20","1,091.70","1,114.00","1,120.50","1,133.80","1,108.00","1,114.00","1,132.00","1,144.10","1,166.00","1,188.00","1,168.50","1,191.70","1,185.00","1,205.00","1,204.00","1,212.00","1,272.00","1,235.00","1,300.50","1,295.50","1,350.00","1,430.50","1,423.00","1,329.00","1,270.00","1,232.50","1,318.00","1,296.70","1,339.00","1,321.00","1,321.90","1,277.00","1,322.00","1,355.00","1,347.90","1,290.50","1,294.00","1,331.00","1,336.80","1,349.70","1,375.00","1,378.00","1,386.60","1,384.50","1,333.00","1,310.90","1,381.00","1,394.40","1,475.00","1,446.00","1,451.00"
"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율","원/달러(고가)","평균자료","원 ","원자료","1,092.38","1,101.73","1,116.19","1,089.47","1,096.25","1,115.75","1,148.34","1,183.62","1,188.96","1,149.54","1,155.81","1,175.90","1,207.08","1,223.28","1,187.89","1,151.43","1,177.07","1,172.94","1,146.03","1,115.35","1,110.70","1,130.71","1,166.52","1,185.77","1,186.74","1,146.44","1,137.28","1,137.11","1,127.51","1,133.33","1,136.02","1,133.38","1,134.78","1,132.34","1,105.62","1,088.22","1,069.27","1,083.21","1,073.38","1,070.56","1,079.26","1,097.73","1,125.75","1,123.58","1,123.40","1,135.05","1,130.35","1,125.36","1,124.05","1,124.74","1,133.42","1,144.26","1,187.40","1,176.34","1,178.70","1,213.27","1,199.42","1,185.12","1,170.62","1,178.16","1,168.86","1,198.49","1,226.56","1,229.41","1,232.25","1,211.88","1,201.17","1,188.62","1,180.48","1,145.44","1,118.59","1,097.69","1,101.87","1,115.06","1,134.16","1,120.80","1,125.85","1,124.24","1,147.24","1,164.22","1,173.47","1,184.79","1,186.13","1,185.70","1,196.91","1,200.66","1,224.21","1,237.92","1,272.29","1,283.85","1,310.97","1,323.87","1,400.16","1,431.57","1,366.84","1,301.22","1,249.84","1,279.38","1,309.68","1,325.96","1,331.58","1,300.60","1,288.68","1,324.00","1,334.56","1,353.71","1,312.68","1,308.09","1,328.74","1,334.65","1,334.33","1,372.61","1,368.61","1,383.41","1,386.07","1,357.56","1,338.32","1,369.95","1,400.22","1,443.32","1,461.01","1,450.72"
"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율","원/달러(고가)","말일자료","원 ","원자료","1,100.00","1,102.90","1,112.50","1,072.60","1,108.60","1,121.00","1,173.00","1,185.00","1,197.00","1,141.00","1,161.00","1,174.70","1,212.50","1,245.30","1,146.60","1,143.90","1,193.30","1,156.00","1,125.20","1,121.00","1,106.20","1,148.90","1,170.30","1,211.50","1,170.00","1,135.30","1,121.70","1,138.00","1,124.20","1,147.00","1,125.30","1,128.40","1,147.00","1,124.00","1,090.20","1,076.00","1,074.00","1,084.00","1,065.90","1,069.20","1,078.50","1,121.50","1,120.10","1,115.10","1,114.50","1,140.80","1,123.10","1,121.10","1,113.50","1,124.70","1,137.10","1,168.20","1,193.00","1,158.40","1,183.40","1,211.80","1,203.60","1,165.30","1,182.20","1,160.40","1,191.90","1,217.80","1,224.00","1,223.00","1,240.40","1,203.00","1,191.50","1,187.90","1,171.20","1,135.60","1,106.50","1,092.00","1,121.50","1,124.40","1,134.00","1,113.00","1,116.90","1,132.40","1,150.40","1,167.50","1,188.70","1,171.10","1,191.70","1,189.30","1,207.40","1,208.50","1,212.50","1,273.50","1,243.10","1,303.70","1,301.70","1,352.30","1,435.00","1,425.60","1,329.50","1,270.50","1,233.20","1,326.60","1,302.00","1,341.50","1,327.30","1,323.70","1,277.00","1,324.90","1,356.00","1,353.70","1,293.70","1,294.00","1,336.30","1,338.00","1,350.30","1,382.50","1,386.70","1,388.50","1,384.70","1,337.50","1,316.80","1,382.00","1,398.50","1,475.00","1,456.40","1,463.90"
"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율","원/달러(저가)","평균자료","원 ","원자료","1,084.62","1,095.37","1,110.05","1,084.44","1,090.40","1,109.03","1,142.16","1,174.98","1,181.29","1,142.30","1,150.11","1,170.05","1,199.22","1,214.72","1,179.69","1,143.26","1,171.06","1,164.21","1,139.70","1,107.87","1,102.99","1,123.73","1,158.59","1,179.75","1,179.04","1,139.63","1,131.15","1,129.68","1,122.01","1,128.84","1,130.84","1,128.55","1,130.48","1,128.01","1,100.80","1,083.55","1,063.98","1,077.12","1,068.58","1,065.30","1,074.44","1,092.32","1,120.03","1,118.52","1,117.36","1,129.12","1,124.92","1,120.62","1,119.19","1,120.95","1,129.73","1,139.85","1,181.95","1,171.27","1,173.86","1,206.82","1,194.35","1,179.82","1,166.15","1,173.28","1,162.73","1,191.86","1,211.49","1,220.70","1,226.77","1,204.86","1,195.92","1,184.67","1,176.16","1,140.24","1,112.78","1,092.10","1,096.21","1,109.42","1,128.57","1,115.88","1,121.00","1,120.10","1,142.49","1,157.65","1,167.79","1,179.25","1,181.25","1,181.54","1,193.00","1,195.70","1,217.86","1,231.74","1,264.86","1,276.43","1,302.86","1,317.07","1,389.10","1,419.94","1,351.99","1,290.05","1,241.31","1,270.91","1,298.95","1,317.65","1,323.76","1,292.17","1,279.90","1,316.71","1,327.36","1,347.29","1,302.80","1,300.93","1,321.81","1,329.02","1,327.80","1,365.76","1,362.12","1,377.15","1,380.40","1,345.72","1,328.28","1,360.99","1,388.37","1,431.82","1,448.50","1,441.24"
"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율","원/달러(저가)","말일자료","원 ","원자료","1,092.50","1,097.50","1,106.60","1,068.00","1,106.60","1,114.50","1,167.10","1,178.00","1,184.10","1,135.50","1,155.00","1,168.50","1,198.70","1,236.30","1,143.10","1,133.80","1,187.90","1,150.50","1,120.10","1,114.60","1,097.80","1,140.00","1,165.80","1,206.00","1,160.80","1,129.30","1,117.50","1,128.70","1,119.50","1,141.70","1,118.80","1,123.20","1,144.30","1,120.00","1,080.30","1,070.00","1,067.50","1,079.00","1,062.80","1,065.70","1,074.10","1,113.10","1,115.60","1,111.80","1,107.60","1,137.40","1,117.70","1,115.70","1,108.60","1,118.10","1,134.80","1,159.00","1,189.20","1,154.30","1,180.40","1,205.60","1,195.50","1,159.60","1,178.30","1,155.50","1,184.20","1,213.00","1,215.50","1,216.90","1,234.70","1,195.40","1,186.60","1,179.10","1,167.50","1,126.60","1,103.50","1,085.50","1,113.50","1,118.80","1,131.20","1,107.00","1,110.60","1,126.00","1,143.70","1,158.30","1,183.50","1,167.50","1,186.00","1,182.70","1,203.60","1,202.00","1,208.40","1,254.80","1,235.00","1,297.00","1,295.50","1,337.60","1,425.50","1,418.30","1,315.40","1,262.10","1,228.10","1,314.60","1,289.10","1,336.50","1,315.70","1,317.00","1,269.50","1,320.30","1,347.30","1,346.10","1,286.50","1,286.30","1,329.10","1,331.00","1,344.60","1,373.50","1,376.70","1,376.10","1,376.40","1,332.40","1,303.40","1,375.00","1,390.20","1,465.50","1,445.10","1,450.10"
"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율","원/달러(종가 15:30)","평균자료","원 ","원자료","1,088.48","1,098.38","1,113.05","1,085.90","1,093.03","1,112.44","1,146.16","1,180.04","1,185.06","1,144.80","1,153.35","1,173.20","1,203.79","1,220.45","1,182.15","1,146.71","1,174.58","1,168.36","1,141.70","1,111.42","1,106.77","1,127.65","1,163.22","1,183.30","1,182.24","1,143.36","1,133.95","1,133.57","1,124.65","1,131.62","1,133.13","1,131.40","1,132.93","1,129.48","1,102.82","1,085.95","1,066.54","1,080.70","1,071.21","1,068.05","1,077.05","1,095.96","1,123.05","1,120.96","1,120.19","1,132.78","1,127.55","1,122.65","1,121.72","1,123.66","1,131.88","1,142.79","1,184.93","1,173.58","1,177.09","1,210.66","1,196.79","1,182.29","1,168.43","1,176.01","1,166.68","1,195.16","1,220.23","1,224.42","1,230.06","1,207.83","1,198.86","1,186.26","1,177.65","1,141.93","1,115.20","1,094.50","1,099.03","1,112.31","1,131.06","1,118.32","1,123.39","1,121.99","1,145.14","1,161.10","1,170.43","1,181.87","1,183.37","1,183.78","1,195.30","1,197.75","1,221.27","1,235.09","1,268.38","1,280.83","1,307.45","1,320.35","1,396.50","1,425.83","1,357.86","1,294.42","1,245.34","1,276.54","1,305.40","1,322.05","1,327.93","1,296.55","1,283.22","1,321.54","1,331.73","1,351.11","1,308.01","1,305.12","1,325.67","1,331.37","1,331.63","1,369.25","1,365.05","1,379.95","1,383.37","1,352.87","1,332.76","1,365.37","1,394.32","1,436.78","1,455.50","1,445.58"
"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율","원/달러(종가 15:30)","말일자료","원 ","원자료","1,093.50","1,098.40","1,109.50","1,072.40","1,108.20","1,115.50","1,170.00","1,182.50","1,185.30","1,140.10","1,158.10","1,172.50","1,199.10","1,236.70","1,143.50","1,139.30","1,191.70","1,151.80","1,120.20","1,114.80","1,101.30","1,144.50","1,169.10","1,207.70","1,162.10","1,130.70","1,118.40","1,137.90","1,119.50","1,144.10","1,119.00","1,127.80","1,145.40","1,120.40","1,088.20","1,070.50","1,067.90","1,082.80","1,063.50","1,068.00","1,077.70","1,114.50","1,118.70","1,112.90","1,109.30","1,139.60","1,121.20","1,115.70","1,112.70","1,124.70","1,135.10","1,168.20","1,190.90","1,154.70","1,183.10","1,211.20","1,196.20","1,163.40","1,181.20","1,156.40","1,191.80","1,213.70","1,217.40","1,218.20","1,238.50","1,203.00","1,191.30","1,187.80","1,169.50","1,135.10","1,106.50","1,086.30","1,118.80","1,123.50","1,131.80","1,112.30","1,110.90","1,126.10","1,150.30","1,159.50","1,184.00","1,168.60","1,187.90","1,188.80","1,205.50","1,202.30","1,212.10","1,255.90","1,237.20","1,298.40","1,299.10","1,337.60","1,430.20","1,424.30","1,318.80","1,264.50","1,231.90","1,322.60","1,301.90","1,337.70","1,327.20","1,317.70","1,274.60","1,321.80","1,349.30","1,350.50","1,290.00","1,288.00","1,334.60","1,331.50","1,347.20","1,382.00","1,384.50","1,376.70","1,376.50","1,336.00","1,307.80","1,379.90","1,394.70","1,472.50","1,452.70","1,463.40"
"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율","원/달러(종가 02:00)","평균자료","원 ","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1,382.65","1,351.46","1,333.03","1,366.92","1,395.07","1,438.69","1,454.02","1,445.16"
"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율","원/달러(종가 02:00)","말일자료","원 ","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1,370.20","1,337.50","1,316.80","1,377.00","1,396.50","1,472.30","1,453.50","1,460.00"
